movie_id,movie_title,release_date,video_release_date,IMDb_URL,genres_name,avg_rating,min_rating,max_rating
1,Toy Story (1995),1995-01-01,,http://us.imdb.com/M/title-exact?Toy%20Story%20(1995),"['Animation', ""Children's"", 'Comedy']",3.8783185,1.0,5.0
2,GoldenEye (1995),1995-01-01,,http://us.imdb.com/M/title-exact?GoldenEye%20(1995),"['Action', 'Adventure', 'Thriller']",3.206107,1.0,5.0
3,Four Rooms (1995),1995-01-01,,http://us.imdb.com/M/title-exact?Four%20Rooms%20(1995),['Thriller'],3.0333333,1.0,5.0
4,Get Shorty (1995),1995-01-01,,http://us.imdb.com/M/title-exact?Get%20Shorty%20(1995),"['Action', 'Comedy', 'Drama']",3.5502393,1.0,5.0
5,Copycat (1995),1995-01-01,,http://us.imdb.com/M/title-exact?Copycat%20(1995),"['Crime', 'Drama', 'Thriller']",3.3023255,1.0,5.0
6,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),1995-01-01,,http://us.imdb.com/Title?Yao+a+yao+yao+dao+waipo+qiao+(1995),['Drama'],3.5769231,1.0,5.0
7,Twelve Monkeys (1995),1995-01-01,,http://us.imdb.com/M/title-exact?Twelve%20Monkeys%20(1995),"['Drama', 'Sci-Fi']",3.7984693,1.0,5.0
8,Babe (1995),1995-01-01,,http://us.imdb.com/M/title-exact?Babe%20(1995),"[""Children's"", 'Comedy', 'Drama']",3.9954338,1.0,5.0
9,Dead Man Walking (1995),1995-01-01,,http://us.imdb.com/M/title-exact?Dead%20Man%20Walking%20(1995),['Drama'],3.896321,1.0,5.0
10,Richard III (1995),1996-01-22,,http://us.imdb.com/M/title-exact?Richard%20III%20(1995),"['Drama', 'War']",3.8314607,1.0,5.0
11,Seven (Se7en) (1995),1995-01-01,,http://us.imdb.com/M/title-exact?Se7en%20(1995),"['Crime', 'Thriller']",3.8474576,1.0,5.0
12,"Usual Suspects, The (1995)",1995-08-14,,"http://us.imdb.com/M/title-exact?Usual%20Suspects,%20The%20(1995)","['Crime', 'Thriller']",4.385768,1.0,5.0
13,Mighty Aphrodite (1995),1995-10-30,,http://us.imdb.com/M/title-exact?Mighty%20Aphrodite%20(1995),['Comedy'],3.4184783,1.0,5.0
14,"Postino, Il (1994)",1994-01-01,,"http://us.imdb.com/M/title-exact?Postino,%20Il%20(1994)","['Drama', 'Romance']",3.9672132,1.0,5.0
15,Mr. Holland's Opus (1995),1996-01-29,,http://us.imdb.com/M/title-exact?Mr.%20Holland's%20Opus%20(1995),['Drama'],3.778157,1.0,5.0
